id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
309,Weather Station,CHAIN BRIDGE ROAD NW,,Other - Public Services,,,,,,,,,,,,,1420.57,$166.21,0.84,0.00,,,,
31,Engine Company #26,1340 RHODE ISLAND AVENUE NE,10873.00,Fire Station,105.00,,,,,,,,,,,,120719.09,"$21,183.58",109.95,7247.89,$1.95,33.33%,,
310,Commercial Driver Test Lot,COMMERCIAL DRIVER TEST LOT,,Parking,,,,,,,,,,,,,7898.66,$924.14,4.68,0.00,,,,
311,Salt Dome #2,401 FARRAGUT STREET NE,,Other - Public Services,,,,,,,,,,,,,174243.00,"$20,386.43",103.24,0.00,,,,
312,Orphan Electricity Billing Accounts,Orphan Electricity Billing Accounts,,Other - Public Services,,,,,,,,,,,,,1318824.97,"$154,302.52",781.40,0.00,,,,
313,Orphan Natural Gas Billing Accounts,Orphan Natural Gas Billing Accounts,,Other - Public Services,,,,,,,,,,,,,0.00,"$323,646.35",1761.78,332285.78,,100.0%,,
314,Unknown,Unknown,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
315,Orphan Water Billing Accounts,Orphan Water Billing Accounts,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
32,Luke C. Moore High School,1001 MONROE STREET NE,65751.00,K-12 School,93.00,Washington,US,DC,1891,27482,1.00,100.00,K-12 School,65751.00,CBECS - Elementary/Middle & High School,K-12 School,984911.83,"$142,241.51",730.57,27727.75,$2.16,18.99%,38.93,-76.99
326,100 H Street NE Lights,100 H STREET NE,,Other - Public Services,,,,,,,,,,,,,33143.58,"$3,877.80",19.64,0.00,,,38.90,-77.00
327,107 Wayne Place Apartments,107 WAYNE PLACE SE,,Multifamily Housing,,,,,,,,,,,,,66021.96,"$7,724.57",39.12,0.00,,,38.84,-77.00
328,10th Street Overlook Lights,10TH STREET (OVERLOOK) SW,,Other - Public Services,,,,,,,,,,,,,19291.65,"$2,257.12",11.43,0.00,,,38.94,-77.10
329,117 Wayne Place Apartments,117 WAYNE PLACE SE,,Multifamily Housing,,,,,,,,,,,,,69767.95,"$8,162.85",41.34,0.00,,,38.83,-77.00
33,Slowe Elementary,1404 JACKSON STREET NE,54500.00,K-12 School,77.00,Washington,US,DC,1000,54500,1.00,100.00,K-12 School,54500.00,CBECS - Elementary/Middle & High School,K-12 School,352808.00,"$70,326.14",367.16,29823.00,$1.29,41.3%,,
330,11th Street Bridge Lighting (East),1700 ANACOSTIA DRIVE SE,,Other - Public Services,,,,,,,,,,,,,111632.28,"$13,060.98",66.14,0.00,,,38.87,-77.00
331,11th Street Bridge Lighting (West),1900 ANACOSTIA DRIVE SE,,Other - Public Services,,,,,,,,,,,,,95003.93,"$11,115.46",56.29,0.00,,,38.87,-77.00
332,1200 Block 16th Street NW Lights,1234 16TH STREET NW,,Other - Public Services,,,,,,,,,,,,,27560.01,"$3,224.52",16.33,0.00,,,38.91,-77.04
333,13th & E St Park,1302 E STREET SE,,Other - Public Services,,,,,,,,,,,,,60666.86,"$7,098.02",35.95,0.00,,,38.88,-76.99
334,14th Street Bridge Lights,14TH STREET BRIDGE,,Other - Public Services,,,,,,,,,,,,,2964.72,$346.87,1.76,0.00,,,38.88,-77.04
335,1st & Florida Park,110 FLORIDA AVENUE NW,,Other - Public Services,,,,,,,,,,,,,7.00,$0.82,0.00,0.00,,,38.91,-77.01
336,1st District Substation,500 E STREET SE,12316.00,Police Station,77.00,Washington,US,DC,1888,12316,1.00,100.00,Other - Public Services,12316.00,CBECS - Other,Other - Public Services,156291.91,"$22,341.68",114.68,4163.79,$1.81,18.15%,38.88,-77.00
337,Adult Learning Center,110 N STREET NW,,Other - Public Services,,,,,,,,,,,,,0.00,"$1,920.69",10.46,1971.96,,100.0%,38.91,-77.01
338,Air Rights Tunnel,229 H STREET NW,,Non-Refrigerated Warehouse,,,,,,,,,,,,,1815928.29,"$212,463.61",1075.94,0.00,,,38.90,-77.01
339,Anacostia Freeway Lights,100 ANACOSTIA FREEWAY,,Other - Public Services,,,,,,,,,,,,,64918.53,"$7,595.47",38.46,0.00,,,38.87,-76.99
34,Engine Company #17,1227 MONROE STREET NE,5033.00,Fire Station,138.00,,,,,,,,,,,,109806.32,"$15,958.11",81.99,3193.81,$3.17,19.49%,,
340,Andrus House - Group Home,2635 18TH STREET NE,5000.00,Other - Lodging/Residential,56.00,Washington,US,DC,2010,5000,1.00,100.00,Senior Care Community,5000.00,CBECS - Other,Mixed Use Property,39936.01,"$6,063.83",31.24,1428.46,$1.21,22.94%,38.92,-76.98
341,Annex 8,200 MCMILLAN DRIVE NW,,Other - Public Services,,,,,,,,,,,,,59738.14,"$6,989.36",35.39,0.00,,,38.92,-77.01
342,Barnard Elementary School,430 DECATUR STREET NW,72500.00,K-12 School,69.00,Washington,US,DC,1970,72500,1.00,100.00,K-12 School,72500.00,CBECS - Elementary/Middle & High School,K-12 School,1467389.74,"$171,762.81",869.85,80.30,$2.37,0.05%,38.95,-77.02
343,Barry Farms Recreation Center,1230 SUMNER RD SE,,Other - Recreation,,,,,,,,,,,,,926850.62,"$148,601.61",767.77,41232.12,,27.03%,38.86,-77.00
344,Benning & Kenilworth Lights,100 BENNING ROAD AND KENILWORTH AVENUE NE,,Other - Public Services,,,,,,,,,,,,,4332.94,$506.95,2.57,0.00,,,38.89,-76.96
345,Benning Stoddert Recreation Center,100 STODDERT PLACE SE,12153.00,Other - Recreation,81.00,,,,,,,,,,,,287872.43,"$33,681.07",170.56,0.00,$2.77,,38.91,-77.03
346,Bomb Squad Trailers and Tactical Village,4669 BLUE PLAINS DRIVE SW,112283.00,Police Station,23.00,,,,,,,,,,,,761908.38,"$89,143.28",451.43,0.00,$0.79,,,
347,Boys/Girls Club of GW - Eastern Branch,261 17TH STREET SE,,Other - Education,,,,,,,,,,,,,479.03,$56.05,0.28,0.00,,,,
348,Bridge and Street Mainenance Division - Farragut Street,441 FARRAGUT STREET NE,12750.00,Other - Public Services,48.00,,,,,,,,,,,,99901.70,"$14,338.04",73.61,2720.27,$1.12,18.48%,38.95,-77.00
349,Bridge Sign and Lights,100 CENTER HIGHWAY,,Other - Public Services,,,,,,,,,,,,,27015.11,"$3,160.77",16.01,0.00,,,,
35,Edgewood Recreation Center,301 FRANKLIN STREET NE,2067.00,Other - Recreation,36.00,,,,,,,,,,,,9624.45,"$1,535.95",7.93,420.83,$0.74,26.69%,,
350,Brookland Middle School,1150 MICHIGAN AVENUE NE,107000.00,Other - Public Services,32.00,Washington,US,DC,2014,107000,1.00,100.00,K-12 School,107000.00,CBECS - Elementary/Middle & High School,K-12 School,940846.00,"$112,459.44",570.41,2444.00,$1.05,2.12%,38.94,-76.99
351,Burroughs Elementary School,1820 MONROE STREET NE,63900.00,K-12 School,165.00,Washington,US,DC,1921,63900,1.00,100.00,K-12 School,63900.00,CBECS - Elementary/Middle & High School,K-12 School,717013.56,"$162,668.82",853.66,80881.14,$2.55,48.43%,,
352,Canal Park Charging Station,1000 2ND PLACE SE,,Other,,,,,,,,,,,,,20363.00,"$2,382.47",12.07,0.00,,,,
353,Canal Park Pavilion One - Reservation 17B,200 K STREET SE,,Other - Public Services,,,,,,,,,,,,,112508.77,"$13,163.53",66.66,0.00,,,38.88,-77.00
354,Canal Park Pavilion One - Reservation 17D,202 M STREET SE,9000.00,Other - Public Services,428.00,,,,,,,,,,,,1129275.58,"$132,125.24",669.10,0.00,$14.68,,38.88,-77.00
355,Clark Elementary,4501 7TH STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
356,Congress Heights Recreation Center,611 ALABAMA AVENUE SE,1181.00,Other - Public Services,90.00,,,,,,,,,,,,31076.48,"$3,635.95",18.41,0.00,$3.08,,38.84,-77.00
357,Congress Heights Sr Wellness Ctr,3500 MARTIN LUTHER KING JR AVENUE SE,5000.00,Senior Care Community,91.00,Washington,US,DC,2010,11480,1.00,100.00,Other - Education,11480.00,CBECS - Education,Other - Education,134022.32,"$15,680.61",79.41,0.00,$3.14,,38.84,-77.00
358,Consolidated Foresnsics Lab,401 E STREET SW,287000.00,Other - Public Services,228.00,Washington,US,DC,2012,351000,1.00,100.00,Laboratory,351000.00,CBECS - Other,Laboratory,11919717.05,"$1,635,193.56",8372.07,247008.90,$5.70,14.71%,,
359,Corcoran Shelter,1861 CORCORAN STREET NE,2210.00,Other - Lodging/Residential,38.00,,,,,,,,,,,,856.80,$881.12,4.76,801.72,$0.40,88.62%,38.91,-76.99
36,Fleet Fueling Site #2,1241 W STREET NE,22000.00,Other - Public Services,43.00,,,,,,,,,,,,276718.19,"$32,376.03",163.96,0.00,$1.47,,,
360,DC Armory,2001 EAST CAPITOL STREET SE,555243.00,Other - Public Services,41.00,Washington,US,DC,1941,588000,1.00,100.00,Other,588000.00,CBECS - Other,Other,4025687.53,"$559,931.12",2869.29,91299.46,$1.01,15.88%,38.89,-76.98
361,DC Jail,1901 D STREET SE,461647.00,Prison/Incarceration,133.00,Washington,US,DC,1976,461647,1.00,100.00,Prison/Incarceration,561647.00,CBECS - Other,Other,18000608.55,"$2,106,071.20",10665.36,0.00,$4.56,,,
362,Deal Middle School,3815 FORT DRIVE NW,181000.00,K-12 School,171.00,Washington,US,DC,1931,181000,1.00,100.00,K-12 School,181000.00,CBECS - Elementary/Middle & High School,K-12 School,4053333.29,"$640,564.64",3306.99,170764.52,$3.54,25.97%,38.95,-77.07
363,Department of Human Services #1,2100 MARTIN LUTHER KING JR AVENUE SE,81610.00,Office,78.00,Washington,US,DC,1000,81610,0.00,100.00,Office,81610.00,CBECS - Office & Bank/Financial,Office,1872507.45,"$219,083.37",1109.46,0.00,$2.68,,,
364,Department of Human Services #3,1207 TAYLOR STREET NW,27600.00,Office,66.00,Washington,US,DC,1000,27600,0.00,100.00,Office,27600.00,CBECS - Other,Other,521284.47,"$61,356.91",310.86,376.41,$2.22,0.6%,,
365,Deputy Mayor for Economic Development - 1415 EUCLID STREET NW,1415 EUCLID STREET NW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
366,Deputy Mayor for Economic Development - 2626 NAYLOR ROAD SE,2626 NAYLOR ROAD SE,,Other,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
367,Deputy Mayor for Economic Development - 2650 NAYLOR ROAD SE,2650 NAYLOR ROAD SE,,Other,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
368,Deputy Mayor for Economic Development - 2840 ALABAMA AVENUE SE,2840 ALABAMA AVENUE SE,,Other - Public Services,,,,,,,,,,,,,1023.00,$119.69,0.61,0.00,,,,
369,DMV at Georgetown Park,3222 M STREET NW,12000.00,Other - Public Services,77.00,,,,,,,,,,,,272124.43,"$31,838.56",161.23,0.00,$2.65,,,
37,Key Elementary School,5001 DANA PLACE NW,50000.00,K-12 School,68.00,Washington,US,DC,1928,50000,1.00,100.00,K-12 School,50000.00,CBECS - Elementary/Middle & High School,K-12 School,527824.34,"$77,186.04",396.73,15842.50,$1.54,19.99%,,
370,DMV Rhode Island Row,2350 WASHINGTON PLACE NE,8000.00,Office,68.00,Washington,US,DC,1000,0,1.00,100.00,Office,0.00,,,159418.57,"$18,651.97",94.46,0.00,$2.33,,,
371,Douglas Recreation Center,2601 DOUGLAS ROAD SE,9726.00,Other - Recreation,20.00,,,,,,,,,,,,58048.41,"$6,791.66",34.39,0.00,$0.70,,,
372,DPW Headquarters (Areas 2 & 5),3001 K STREET NW,,Other - Public Services,,,,,,,,,,,,,15883.59,"$1,858.38",9.41,0.00,,,,
373,DPW Vehicle Maintenance Facility 2,1833 WEST VIRGINIA AVENUE NE,134114.00,Other - Public Services,141.00,Washington,US,DC,1000,134114,0.00,100.00,"Repair Services (Vehicle, Shoe, Locksmith, etc)",134114.00,CBECS - Service,Other - Services,1445304.18,"$305,735.20",1600.12,140281.94,$2.28,44.69%,,
374,"DPW Vehicle, Maintenance & Trailer Site",1431-1451 OKIE STREET NE,,Other - Public Services,,,,,,,,,,,,,677013.34,"$79,210.56",401.13,0.00,,,,
375,Emergency Shelter for Homeless Men,2210 ADAMS PLACE NE,12546.00,Other - Public Services,190.00,Washington,US,DC,1000,12546,1.00,100.00,Other - Lodging/Residential,12546.00,CBECS - Lodging,Other - Lodging/Residential,315385.71,"$49,684.02",256.46,13125.15,$3.96,25.73%,,
376,Employee Facility,1201 WATER STREET SE,,Office,,,,,,,,,,,,,54141.00,"$6,334.50",32.08,0.00,,,,
377,Engine Company #19,2813 PENNSYLVANIA AVENUE SE,9062.00,Fire Station,120.00,,,,,,,,,,,,112226.67,"$20,022.04",104.01,7075.48,$2.21,34.42%,,
378,Engine Company #22,5760 GEORGIA AVENUE NW,12409.00,Fire Station,66.00,,,,,,,,,,,,110327.88,"$17,185.58",88.65,4391.39,$1.38,24.89%,,
379,Engine Company #28,3522 CONNECTICUT AVENUE NW,7636.00,Other - Public Services,139.00,,,,,,,,,,,,159533.00,"$23,667.02",121.75,5135.17,$3.10,21.13%,,
38,Palisades Recreation Center,5200 SHERIER PLACE NW,6625.00,Other - Recreation,87.00,,,,,,,,,,,,140706.58,"$17,373.99",88.33,935.65,$2.62,5.25%,,
380,Engine Company #29,4811 MACARTHUR BOULEVARD NW,9392.00,Fire Station,67.00,,,,,,,,,,,,184694.91,"$21,609.30",109.43,0.00,$2.30,,,
381,Engine Company #30,50 49TH STREET NE,11143.00,Fire Station,114.00,,,,,,,,,,,,194387.54,"$28,669.89",147.44,6084.75,$2.57,20.67%,,
382,Engine Company #33,101 ATLANTIC STREET SE,14519.00,Fire Station,94.00,Washington,US,DC,1908,15000,1.00,100.00,Other - Public Services,15000.00,CBECS - Fire Station/Police Station,Fire Station,245329.00,"$33,874.46",173.51,5309.00,$2.33,15.27%,,
383,Evidence & Property Control Facility,17 DC VILLAGE LANE SW,30000.00,Police Station,130.00,Washington,US,DC,1000,30000,1.00,100.00,Other - Public Services,30000.00,CBECS - Fire Station/Police Station,Police Station,984698.76,"$120,555.67",612.53,5488.62,$4.02,4.43%,38.81,-77.01
384,Fire Training School,4600 OVERLOOK AVENUE SW,,Fire Station,,,,,,,,,,,,,239922.74,"$28,070.96",142.15,0.00,,,,
385,Fleet Fueling Site #1,2175 WEST VIRGINIA AVENUE NE,144000.00,Other - Public Services,24.00,,,,,,,,,,,,551852.25,"$79,437.73",407.92,15267.98,$0.55,18.72%,,
386,Fleet Garage and Tool Shed,3210 GEORGIA AVENUE NW,,Other - Public Services,,,,,,,,,,,,,35866.03,"$4,196.33",21.25,0.00,,,,
387,Fletcher-Johnson Educational Center,4650 BENNING ROAD SE,302000.00,K-12 School,0.00,,,,,,,,,,,,1200.00,$140.40,0.71,0.00,$0.00,,,
388,Food Service Warehouse & DCPS Security,3553 V STREET NE,68203.00,Other - Public Services,23.00,,,,,,,,,,,,98020.47,"$23,570.21",123.95,12424.86,$0.35,51.34%,,
389,Forest Hill Park,100 32ND CHESEPEAKE STREET NW,,Other - Public Services,,,,,,,,,,,,,2115.72,$247.54,1.25,0.00,,,,
39,Fort Lincoln Recreation Center,3100 FORT LINCOLN DRIVE NE,103800.00,K-12 School,25.00,Washington,US,DC,1000,103800,0.00,100.00,K-12 School,103800.00,CBECS - Other,Other,749902.10,"$87,738.55",444.32,0.00,$0.85,,,
390,Fort Dupont Ice Arena,3779 ELY PLACE SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
391,Fort Stanton Pool,1800 ERIE STREET SE,7133.00,Swimming Pool,310.00,,,,,,,,,,,,411360.15,"$55,997.52",286.56,8078.42,$7.85,14.05%,,
392,Francis A Gregory Library (interim),2100 36TH PLACE SE,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
393,Franklin School (DMPED),925 13TH STREET NW,,Other - Public Services,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,38.90,-77.03
394,Friendship Recreation Center,4500 VAN NESS STREET NW,1508.00,Other - Public Services,126.00,,,,,,,,,,,,55695.79,"$6,516.41",33.00,0.00,$4.32,,,
395,Ft. Greble Recreation Center,ELMIRA STREET SW FROM MARTIN LUTHER KING JR AVENUE SW,1647.00,Other - Recreation,1040.00,,,,,,,,,,,,501963.00,"$58,729.67",297.41,0.00,$35.66,,,
396,Garrison Recreation Center,1205 R STREET NW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
397,Gateway Sign (Welcome to Wash) - 3040 NAYLOR ROAD SE,3040 NAYLOR ROAD SE,,Other - Public Services,,,,,,,,,,,,,1826.71,$213.73,1.08,0.00,,,,
398,Gateway Sign (Welcome to Wash) - 3100T BLADENSBURG ROAD NE,3100T BLADENSBURG ROAD NE,,Other - Public Services,,,,,,,,,,,,,575.47,$67.33,0.34,0.00,,,,
399,Gateway Sign (Welcome to Wash) - 351 EASTERN AVENUE NE,351 EASTERN AVENUE NE,,Other - Public Services,,,,,,,,,,,,,2093.58,$244.95,1.24,0.00,,,,
4,Jefferson Playing Fields,700 I STREET SW,,Other - Recreation,,,,,,,,,,,,,76977.57,"$9,006.38",45.61,0.00,,,38.88,-77.02
40,Benning Road Plaza,1500 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,37636.20,"$4,403.44",22.30,0.00,,,38.90,-76.98
400,Gateway Sign (Welcome to Wash) - 3845T SUITLAND ROAD SE,3845T SUITLAND ROAD SE,,Other - Public Services,,,,,,,,,,,,,1628.97,$190.59,0.97,0.00,,,,
401,Gateway Sign (Welcome to Wash) - 4530T DOUGLAS STREET NE,4530T DOUGLAS STREET NE,,Other - Public Services,,,,,,,,,,,,,3739.34,$437.50,2.22,0.00,,,,
402,Gateway Sign (Welcome to Wash) - 4810T 36TH STREET NW,4810T 36TH STREET NW,,Other - Public Services,,,,,,,,,,,,,2625.00,$307.13,1.56,0.00,,,,
403,Gateway Sign (Welcome to Wash) - 5080 BENNING ROAD SE,5080 BENNING ROAD SE,,Other - Public Services,,,,,,,,,,,,,580.00,$67.86,0.34,0.00,,,,
404,Gateway Sign (Welcome to Wash) - 5120 SARGENT ROAD NE,5120 SARGENT ROAD NE,,Other - Public Services,,,,,,,,,,,,,1557.86,$182.27,0.92,0.00,,,,
405,Gateway Sign (Welcome to Wash) - 5300 SHERIFF ROAD NE,5300 SHERIFF ROAD NE,,Other - Public Services,,,,,,,,,,,,,1474.62,$172.53,0.87,0.00,,,,
406,Gateway Sign (Welcome to Wash) - 5800 EASTERN AVENUE NE,5800 EASTERN AVENUE NE,,Other - Public Services,,,,,,,,,,,,,1207.36,$141.26,0.72,0.00,,,,
407,Gateway Sign (Welcome to Wash) - 5800 NANNIE HELEN BUROUGH AVENUE NE,5800 NANNIE HELEN BUROUGH AVENUE NE,,Other - Public Services,,,,,,,,,,,,,2738.64,$320.42,1.62,0.00,,,,
408,Gateway Sign (Welcome to Wash) - 6244 EASTERN AVENUE NE,6244 EASTERN AVENUE NE,,Other - Public Services,,,,,,,,,,,,,846.39,$99.03,0.50,0.00,,,,
409,Gateway Sign (Welcome to Wash) - 6500 EASTERN AVENUE NE,6500 EASTERN AVENUE NE,,Other - Public Services,,,,,,,,,,,,,1.00,$0.12,0.00,0.00,,,,
41,Spingarn High School,2500 BENNING ROAD NE,225000.00,K-12 School,1.00,Washington,US,DC,1000,225000,1.00,0.00,K-12 School,225000.00,CBECS - Elementary/Middle & High School,K-12 School,37457.27,"$4,492.71",22.79,113.15,$0.02,2.45%,,
410,George Washington Tower,2150 PENNSYLVANIA AVENUE NE,,Other - Public Services,,,,,,,,,,,,,699647.31,"$81,858.74",414.54,0.00,,,,
411,Georgetown Park,WHITEHURST FREEWAY,,Other - Recreation,,,,,,,,,,,,,285997.29,"$33,461.68",169.45,0.00,,,,
412,Gibbs Elementary,500 19TH STREET NE,66985.00,Other - Public Services,16.00,,,,,,,,,,,,316501.00,"$37,123.15",188.03,95.00,$0.55,0.25%,,
413,Girard St Family Shelter,1413 GIRARD STREET NW,11900.00,Other - Lodging/Residential,100.00,,,,,,,,,,,,317069.14,"$38,196.06",193.85,1128.31,$3.21,2.88%,38.93,-77.03
414,H.D. Cooke Elementary School,2525 17TH STREET NW,105743.00,K-12 School,49.00,Washington,US,DC,1909,85708,0.00,100.00,K-12 School,85708.00,CBECS - Elementary/Middle & High School,K-12 School,953995.63,"$130,069.78",665.69,18944.86,$1.23,14.19%,38.92,-77.04
415,Hamilton Recreation Center,1340 HAMILTON STREET NW,898.00,Other - Recreation,108.00,,,,,,,,,,,,28488.06,"$3,333.10",16.88,0.00,$3.71,,,
416,Harbor Garage,100 MAINE AVENUE AND 9TH STREET SW,,Other - Public Services,,,,,,,,,,,,,3978.00,$465.43,2.36,0.00,,,,
417,Harrison Elementary,1301 V STREET NW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
419,Hattie Homes Sr Wellness Ctr,324 KENNEDY STREET NW,15000.00,Senior Care Community,94.00,Washington,US,DC,2010,15000,1.00,100.00,Other - Education,15000.00,CBECS - Education,Other - Education,286761.71,"$37,760.06",192.82,4321.29,$2.52,11.15%,38.96,-77.02
42,Browne Education Campus,850 26TH STREET NE,215400.00,K-12 School,59.00,Washington,US,DC,2008,215400,2.00,100.00,K-12 School,215400.00,CBECS - Elementary/Middle & High School,K-12 School,2689219.75,"$348,661.49",1778.57,34930.98,$1.62,9.76%,38.90,-76.97
420,Hearst Recreation Center,3600 TILDEN STREET NW,1962.00,Other - Recreation,45.00,,,,,,,,,,,,25819.50,"$3,020.88",15.30,0.00,$1.54,,38.94,-77.07
421,Hendley Elementary School,425 CHESAPEAKE STREET SE,73200.00,K-12 School,56.00,Washington,US,DC,1959,73200,1.00,100.00,K-12 School,73200.00,CBECS - Elementary/Middle & High School,K-12 School,962786.45,"$120,529.62",613.37,8094.05,$1.65,6.54%,,
422,Hillcrest Recreation Center,3100 DENVER STREET SE,21628.00,Other - Public Services,42.00,,,,,,,,,,,,263489.00,"$30,828.21",156.12,0.00,$1.43,,38.86,-76.96
423,Hine Middle School,335 8TH STREET SE,131300.00,K-12 School,0.00,Washington,US,DC,1000,131300,1.00,100.00,K-12 School,131300.00,CBECS - Elementary/Middle & High School,K-12 School,2143.00,$250.73,1.27,0.00,$0.00,,,
424,Homeless Shelter #1,1436 IRVING STREET NW,10963.00,Other - Public Services,1.00,,,,,,,,,,,,2046.00,$239.38,1.21,0.00,$0.02,,,
425,Homeless Shelter #3,1357 VALLEY PLACE SE,,Other - Public Services,,,,,,,,,,,,,77968.67,"$13,288.60",68.88,4277.48,,31.35%,,
426,House of Togetherness,1835 EVARTS STREET NE,10000.00,Worship Facility,31.00,Washington,US,DC,2010,5000,1.00,100.00,Senior Care Community,10000.00,CBECS - Other,Mixed Use Property,48849.00,"$7,149.06",36.75,1472.00,$0.71,20.05%,38.92,-76.98
427,Impound Lot Admin,1100 BRENTWOOD ROAD NE,,Other - Public Services,,,,,,,,,,,,,8721.41,"$1,020.40",5.17,0.00,,,,
428,Irrigation System,5214 FOOTE STREET NE,,Other,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
429,Justice Park,1412 EUCLID STREET NW,,Other - Public Services,,,,,,,,,,,,,1720.48,$201.30,1.02,0.00,,,,
43,Trinidad Recreation Center,1310 CHILDRESS STREET NE,20644.00,Other - Recreation,88.00,Washington,US,DC,1000,20644,1.00,100.00,Other,20664.00,CBECS - Recreation,Fitness Center/Health Club/Gym,341171.50,"$46,191.48",236.30,6441.90,$2.24,13.58%,38.91,-76.98
430,Kalorama Recreation Center,1875 COLUMBIA ROAD NW,1473.00,Other - Recreation,166.00,,,,,,,,,,,,51486.49,"$6,696.50",34.17,690.53,$4.55,10.04%,,
431,Kelly Miller Pool,4925 BROOKS STREET NE,,Other - Public Services,,,,,,,,,,,,,0.00,$637.97,3.47,655.00,,100.0%,,
434,Ketcham Elementary School,1919 15TH STREET SE,88300.00,K-12 School,100.00,Washington,US,DC,1909,88300,1.00,80.00,K-12 School,88300.00,CBECS - Elementary/Middle & High School,K-12 School,1612933.94,"$221,365.99",1133.41,33524.35,$2.51,14.75%,,
435,Kramer Shelter,1626 KRAMER STREET NE,2582.00,Other - Lodging/Residential,88.00,,,,,,,,,,,,25861.08,"$4,387.43",22.74,1398.03,$1.70,31.04%,,
436,Langston Library,2600 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
437,Lansburgh Park,K STREET AND DELAWARE AVENUE SW,,Other - Recreation,,,,,,,,,,,,,2218.00,$259.51,1.31,0.00,,,38.88,-77.01
438,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,83000.00,K-12 School,73.00,Washington,US,DC,1957,83000,1.00,100.00,K-12 School,83000.00,CBECS - Elementary/Middle & High School,K-12 School,1101983.01,"$151,202.44",774.15,22864.92,$1.82,14.73%,38.96,-77.00
439,Lease #0804 (Nutrition Programs WHS),3330 V STREET NE,,Office,,Washington,US,DC,1000,50000,1.00,100.00,Other,50000.00,CBECS - Other,Other,82588.00,"$22,272.20",117.57,12946.00,,56.61%,,
44,DPW Vehicle Maintenance Facility 2A,1835 WEST VIRGINIA AVENUE NE,78550.00,Other - Public Services,9.00,Washington,US,DC,1000,134114,1.00,100.00,Other - Public Services,134114.00,CBECS - Service,"Repair Services (Vehicle, Shoe, Locksmith, etc)",203091.95,"$23,761.76",120.33,0.00,$0.30,,,
440,Lease #0808,2311 MARTIN LUTHER KING JR AVENUE SE,,Other - Public Services,,,,,,,,,,,,,18310.00,"$3,421.13",17.81,1313.00,,37.38%,,
441,Lease #8633,1515 HALF STREET SW,,Other - Public Services,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
442,Lease #8834,3535 V STREET NE,,Office,,Washington,US,DC,1000,39785,1.00,100.00,Other,68203.00,CBECS - Other,Other,768554.67,"$105,373.24",539.48,15864.83,,14.66%,,
443,Lighting for Playground & Walk Trail (Marvin Gay Park),601 49TH STREET NE,,Other,,,,,,,,,,,,,12594.68,"$1,473.58",7.46,0.00,,,,
444,Lights Storage Area,14TH STREET AND MAINE AVENUE (BRIDGE) SW,,Other,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
445,Lights/Water Fountain,3225 14TH STREET NW,,Other - Public Services,,,,,,,,,,,,,14846.61,"$1,737.05",8.80,0.00,,,,
446,Lincoln Theater,1215 U STREET NW,46360.00,Movie Theater,0.00,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,$0.01,,,
447,Lovejoy Playground & Park,428 12TH STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
448,Ludlow-Taylor Elementary School,659 G STREET NE,66900.00,K-12 School,81.00,Washington,US,DC,1969,66900,1.00,100.00,K-12 School,66900.00,CBECS - Elementary/Middle & High School,K-12 School,817690.35,"$121,051.31",622.65,26059.08,$1.81,20.97%,,
449,Macomb Recreation Center,3409 MACOMB STREET NW,801.00,Other - Recreation,157.00,,,,,,,,,,,,36779.25,"$4,303.17",21.79,0.00,$5.37,,38.93,-77.07
45,DPW Emergency Management Communications Center,1827 WEST VIRGINIA AVENUE NE,16098.00,Office,296.00,Washington,US,DC,1000,0,1.00,100.00,Office,0.00,,,386803.59,"$78,759.42",411.56,34397.74,$4.89,42.54%,,
450,Malcolm X Elementary,1351 ALABAMA AVENUE SE,110800.00,Other - Public Services,49.00,Washington,US,DC,1972,110800,1.00,0.00,Social/Meeting Hall,110800.00,CBECS - Social/Meeting,Social/Meeting Hall,693324.84,"$110,901.78",572.92,30577.80,$1.00,26.86%,,
